"","population","individual","b","c","exposure_score","Individ_id"
"1","Alkefjellet",1,0.999999999757165,0.994377741129617,23.0139,"NOS-4182652"
"2","Alkefjellet",10,1.00000000015552,0.989530686428314,22.7105,"NOS-4182662"
"3","Alkefjellet",11,0.99999999964075,0.99635060952418,24.0684,"NOS-4182663"
"4","Alkefjellet",12,0.999999999725333,0.990032086726796,24.9394,"NOS-4182664"
"5","Alkefjellet",13,1.00000000023647,0.992166076594417,26.3117,"NOS-4182665"
"6","Alkefjellet",14,1.00000000034834,0.991232591091392,22.8172,"NOS-4182667"
"7","Alkefjellet",15,0.999999999920874,0.995116415632851,24.479,"NOS-4186205"
"8","Alkefjellet",2,1.00000000005275,0.989855361394513,24.2593,"NOS-4182653"
"9","Alkefjellet",3,1.00000000000182,0.991796636778635,18.2935,"NOS-4182654"
"10","Alkefjellet",4,1.00000000025148,0.990612319587446,16.8419,"NOS-4182655"
"11","Alkefjellet",5,1.00000000003638,0.991292008894383,14.4642,"NOS-4182656"
"12","Alkefjellet",6,1.0000000001728,0.988530769553665,17.4639,"NOS-4182657"
"13","Alkefjellet",7,0.999999999833562,0.992375163509898,23.9283,"NOS-4182658"
"14","Alkefjellet",8,0.999999999607098,0.99098799581264,25.6935,"NOS-4182659"
"15","Alkefjellet",9,0.999999999799002,0.990008794940072,22.5526,"NOS-4182661"
"16","Bjørnøya",1,0.999999999849024,0.990720228122562,26.4194,"NOS-4181262"
"17","Bjørnøya",10,0.999999999844476,0.989464459419332,26.4954,"NOS-4182533"
"18","Bjørnøya",11,1.00000000012278,0.994459823685917,23.5206,"NOS-4182534"
"19","Bjørnøya",12,1.00000000027831,0.991236036352979,27.1093,"NOS-4182535"
"20","Bjørnøya",13,1.00000000007367,0.992706386083945,26.1333,"NOS-4182537"
"21","Bjørnøya",14,0.999999999648935,0.991460354057376,25.2225,"NOS-4182538"
"22","Bjørnøya",15,0.999999999889951,0.994632258138758,21.132,"NOS-4182539"
"23","Bjørnøya",16,0.999999999758984,0.992310602514671,26.2984,"NOS-4182541"
"24","Bjørnøya",17,1.00000000030923,0.992552757924937,25.7066,"NOS-4182542"
"25","Bjørnøya",18,0.999999999968168,0.991237170994432,27.302,"NOS-4182543"
"26","Bjørnøya",19,1.00000000014734,0.994124768636836,23.6067,"NOS-4182544"
"27","Bjørnøya",2,1.00000000035016,0.992567526937838,25.0589,"NOS-4181268"
"28","Bjørnøya",20,1.00000000023465,0.99310833862549,25.1865,"NOS-4182545"
"29","Bjørnøya",21,1.00000000009913,0.991757047207045,23.3864,"NOS-4182546"
"30","Bjørnøya",22,0.999999999957254,0.991764410091988,25.7951,"NOS-4182548"
"31","Bjørnøya",23,0.999999999938154,0.992248464982607,26.5907,"NOS-4182549"
"32","Bjørnøya",24,0.999999999960892,0.991004530267538,26.9602,"NOS-4214401"
"33","Bjørnøya",25,0.999999999703505,0.991853620200734,21.9803,"NOS-4214403"
"34","Bjørnøya",26,1.00000000018099,0.991854123643745,26.4019,"NOS-4214405"
"35","Bjørnøya",27,1.00000000007003,0.992060329329469,26.4494,"NOS-4214408"
"36","Bjørnøya",28,0.999999999787178,0.990890099956412,25.1339,"NOS-4214433"
"37","Bjørnøya",29,0.999999999792635,0.993375141239772,25.7897,"NOS-4214434"
"38","Bjørnøya",3,0.999999999971806,0.9942403979411,23.0406,"NOS-4181271"
"39","Bjørnøya",30,0.999999999986358,0.992567248406718,24.7345,"NOS-4214435"
"40","Bjørnøya",31,1.00000000002183,0.994104046072997,23.3953,"NOS-4282351"
"41","Bjørnøya",32,1.00000000012369,0.993312975072543,26.3417,"NOS-4282353"
