"name","vals","nas","percent_na"
"Alkefjellet_1",753,248,32.9349269588313
"Alkefjellet_10",657,254,38.6605783866058
"Alkefjellet_11",598,210,35.1170568561873
"Alkefjellet_12",491,152,30.9572301425662
"Alkefjellet_13",593,135,22.7655986509275
"Alkefjellet_14",897,358,39.9108138238573
"Alkefjellet_15",481,128,26.6112266112266
"Alkefjellet_2",724,214,29.5580110497238
"Alkefjellet_3",786,318,40.4580152671756
"Alkefjellet_4",906,457,50.4415011037528
"Alkefjellet_5",780,450,57.6923076923077
"Alkefjellet_6",917,466,50.8178844056707
"Alkefjellet_7",634,242,38.1703470031546
"Alkefjellet_8",555,149,26.8468468468468
"Alkefjellet_9",821,304,37.0280146163216
"Bjørnøya_1",418,77,18.4210526315789
"Bjørnøya_10",484,100,20.6611570247934
"Bjørnøya_11",680,229,33.6764705882353
"Bjørnøya_12",365,66,18.0821917808219
"Bjørnøya_13",450,87,19.3333333333333
"Bjørnøya_14",511,171,33.4637964774951
"Bjørnøya_15",656,249,37.9573170731707
"Bjørnøya_16",385,75,19.4805194805195
"Bjørnøya_17",388,80,20.6185567010309
"Bjørnøya_18",443,68,15.3498871331828
"Bjørnøya_19",673,239,35.5126300148588
"Bjørnøya_2",347,89,25.6484149855908
"Bjørnøya_20",465,107,23.010752688172
"Bjørnøya_21",636,205,32.2327044025157
"Bjørnøya_22",378,82,21.6931216931217
"Bjørnøya_23",589,114,19.3548387096774
"Bjørnøya_24",462,78,16.8831168831169
"Bjørnøya_25",677,260,38.4047267355982
"Bjørnøya_26",472,86,18.2203389830508
"Bjørnøya_27",554,116,20.9386281588448
"Bjørnøya_28",526,142,26.9961977186312
"Bjørnøya_29",492,146,29.6747967479675
"Bjørnøya_3",577,191,33.1022530329289
"Bjørnøya_30",441,107,24.2630385487528
"Bjørnøya_31",509,156,30.6483300589391
"Bjørnøya_32",531,105,19.774011299435
"Bjørnøya_33",523,173,33.0783938814532
"Bjørnøya_34",424,142,33.4905660377358
"Bjørnøya_35",571,126,22.0665499124343
"Bjørnøya_36",455,101,22.1978021978022
"Bjørnøya_37",432,71,16.4351851851852
"Bjørnøya_38",459,111,24.1830065359477
"Bjørnøya_4",385,79,20.5194805194805
"Bjørnøya_5",436,101,23.1651376146789
"Bjørnøya_6",434,65,14.9769585253456
"Bjørnøya_7",523,144,27.5334608030593
"Bjørnøya_8",505,108,21.3861386138614
"Bjørnøya_9",461,135,29.2841648590022
"Eynhallow_1",542,4,0.738007380073801
"Eynhallow_10",904,6,0.663716814159292
"Eynhallow_100",959,45,4.69238790406674
"Eynhallow_101",842,14,1.66270783847981
"Eynhallow_102",456,9,1.97368421052632
"Eynhallow_103",717,10,1.39470013947001
"Eynhallow_104",721,15,2.08044382801664
"Eynhallow_105",432,8,1.85185185185185
"Eynhallow_106",672,19,2.82738095238095
"Eynhallow_107",295,5,1.69491525423729
"Eynhallow_108",768,4,0.520833333333333
"Eynhallow_109",701,7,0.998573466476462
"Eynhallow_11",257,4,1.55642023346304
"Eynhallow_110",410,10,2.4390243902439
"Eynhallow_111",1401,165,11.7773019271949
"Eynhallow_112",320,4,1.25
"Eynhallow_113",214,3,1.4018691588785
"Eynhallow_114",248,6,2.41935483870968
"Eynhallow_115",705,68,9.64539007092199
"Eynhallow_116",696,0,0
"Eynhallow_117",441,5,1.13378684807256
"Eynhallow_118",793,9,1.13493064312736
"Eynhallow_119",208,6,2.88461538461538
"Eynhallow_12",681,13,1.90895741556535
"Eynhallow_120",308,8,2.5974025974026
"Eynhallow_121",696,6,0.862068965517241
"Eynhallow_122",773,68,8.79689521345407
"Eynhallow_123",1250,14,1.12
"Eynhallow_124",494,3,0.607287449392713
"Eynhallow_125",845,6,0.710059171597633
"Eynhallow_126",391,8,2.0460358056266
"Eynhallow_127",753,12,1.59362549800797
"Eynhallow_128",265,6,2.26415094339623
"Eynhallow_129",416,15,3.60576923076923
"Eynhallow_13",278,10,3.59712230215827
"Eynhallow_130",927,8,0.862998921251348
"Eynhallow_131",618,12,1.94174757281553
"Eynhallow_132",397,5,1.25944584382872
"Eynhallow_133",219,9,4.10958904109589
"Eynhallow_134",770,9,1.16883116883117
"Eynhallow_135",490,8,1.63265306122449
"Eynhallow_136",261,8,3.06513409961686
"Eynhallow_14",560,8,1.42857142857143
"Eynhallow_15",196,7,3.57142857142857
"Eynhallow_16",467,11,2.35546038543897
"Eynhallow_17",217,6,2.76497695852535
"Eynhallow_18",755,18,2.3841059602649
"Eynhallow_19",387,5,1.29198966408269
"Eynhallow_2",1094,186,17.0018281535649
"Eynhallow_20",245,4,1.63265306122449
"Eynhallow_21",203,11,5.41871921182266
"Eynhallow_22",710,5,0.704225352112676
"Eynhallow_23",1274,296,23.2339089481947
"Eynhallow_24",622,29,4.66237942122186
"Eynhallow_25",515,7,1.35922330097087
"Eynhallow_26",276,9,3.26086956521739
"Eynhallow_27",349,9,2.57879656160458
"Eynhallow_28",683,12,1.75695461200586
"Eynhallow_29",259,5,1.93050193050193
"Eynhallow_3",324,9,2.77777777777778
"Eynhallow_30",348,6,1.72413793103448
"Eynhallow_31",290,9,3.10344827586207
"Eynhallow_32",623,10,1.60513643659711
"Eynhallow_33",589,9,1.52801358234295
