"","Colony","Individ_id","pers","Number_of_tracks"
"1","Alkefjellet","NOS-4182652",23.0139,730
"2","Alkefjellet","NOS-4182653",24.2593,2188
"3","Alkefjellet","NOS-4182654",18.2935,1458
"4","Alkefjellet","NOS-4182655",16.8419,1094
"5","Alkefjellet","NOS-4182656",14.4642,364
"6","Alkefjellet","NOS-4182657",17.4639,1457
"7","Alkefjellet","NOS-4182658",23.9283,1418
"8","Alkefjellet","NOS-4182659",25.6935,1054
"9","Alkefjellet","NOS-4182661",22.5526,1822
"10","Alkefjellet","NOS-4182662",22.7105,688
"11","Alkefjellet","NOS-4182663",24.0684,1092
"12","Alkefjellet","NOS-4182664",24.9394,1822
"13","Alkefjellet","NOS-4182665",26.3117,728
"14","Alkefjellet","NOS-4182667",22.8172,730
"15","Alkefjellet","NOS-4186205",24.479,364
"16","Bjørnøya","NOS-4181262",26.4194,730
"17","Bjørnøya","NOS-4181268",25.0589,366
"18","Bjørnøya","NOS-4181271",23.0406,366
"19","Bjørnøya","NOS-4182521",26.4832,364
"20","Bjørnøya","NOS-4182523",24.9035,1094
"21","Bjørnøya","NOS-4182525",26.1896,364
"22","Bjørnøya","NOS-4182526",24.776,1094
"23","Bjørnøya","NOS-4182528",25.8298,1094
"24","Bjørnøya","NOS-4182531",24.8113,1094
"25","Bjørnøya","NOS-4182533",26.4954,1822
"26","Bjørnøya","NOS-4182534",23.5206,1458
"27","Bjørnøya","NOS-4182535",27.1093,730
"28","Bjørnøya","NOS-4182537",26.1333,1458
"29","Bjørnøya","NOS-4182538",25.2225,730
"30","Bjørnøya","NOS-4182539",21.132,1094
"31","Bjørnøya","NOS-4182541",26.2984,1094
"32","Bjørnøya","NOS-4182542",25.7066,730
"33","Bjørnøya","NOS-4182543",27.302,364
"34","Bjørnøya","NOS-4182544",23.6067,730
"35","Bjørnøya","NOS-4182545",25.1865,730
"36","Bjørnøya","NOS-4182546",23.3864,1458
"37","Bjørnøya","NOS-4182548",25.7951,1094
"38","Bjørnøya","NOS-4182549",26.5907,1458
"39","Bjørnøya","NOS-4214401",26.9602,728
"40","Bjørnøya","NOS-4214403",21.9803,1094
"41","Bjørnøya","NOS-4214405",26.4019,786
"42","Bjørnøya","NOS-4214408",26.4494,1094
"43","Bjørnøya","NOS-4214433",25.1339,728
"44","Bjørnøya","NOS-4214434",25.7897,728
"45","Bjørnøya","NOS-4214435",24.7345,1092
"46","Bjørnøya","NOS-4282351",23.3953,728
"47","Bjørnøya","NOS-4282353",26.3417,324
"48","Bjørnøya","NOS-4282356",24.3867,728
"49","Bjørnøya","NOS-4282357",22.5801,728
"50","Bjørnøya","NOS-4282358",26.1079,728
"51","Bjørnøya","NOS-4282361",26.6628,728
"52","Bjørnøya","NOS-4282362",27.3417,728
"53","Bjørnøya","NOS-5109523",25.6289,364
"54","Combined","ISR-336161",24.8863,2188
"55","Combined","ISR-336161",23.4127,2188
"56","Combined","ISR-336163",23.6433,2188
"57","Combined","ISR-336163",24.5834,2188
"58","Combined","ISR-336166",23.2912,1824
"59","Combined","ISR-336166",24.5277,1824
"60","Combined","ISR-336167",23.3168,726
"61","Combined","ISR-336176",23.9578,809
"62","Combined","ISR-336179",23.1538,364
"63","Combined","ISR-339217",23.7398,1819
"64","Combined","ISR-339220",23.9229,364
"65","Combined","ISR-339222",25.1848,729
"66","Combined","ISR-339223",22.915,1091
"67","Combined","ISR-339226",23.7248,1092
"68","Combined","ISR-339227",24.2018,2185
"69","Combined","ISR-339229",25.7752,2182
"70","Combined","ISR-339230",24.4444,363
"71","Combined","ISR-339231",23.6317,1819
"72","Combined","ISR-339233",24.3843,1458
"73","Combined","ISR-339234",23.5329,2188
"74","Combined","ISR-339235",23.6169,1824
"75","Combined","ISR-339237",24.0509,364
"76","Combined","ISR-339238",26.2525,1458
"77","Combined","ISR-339239",25.2363,363
"78","Combined","ISR-339240",23.2482,1821
"79","Combined","ISR-339242",24.5711,364
"80","Combined","ISR-339243",25.0879,363
"81","Combined","ISR-339244",23.4296,363
"82","Combined","ISR-339245",24.785,728
"83","Combined","ISR-339246",22.1064,1092
"84","Combined","ISR-339248",24.3163,728
"85","Combined","ISR-340703",23.1896,2070
"86","Combined","ISR-340709",23.8131,1091
"87","Combined","ISR-340719",23.6036,2185
"88","Combined","ISR-340721",23.1833,1458
"89","Combined","ISR-340732",19.1949,1824
"90","Combined","ISR-340758",23.6492,2551
"91","Combined","ISR-340760",22.8991,1094
"92","Combined","ISR-340761",23.3717,1458
"93","Combined","ISR-340770",24.1198,1092
"94","Combined","ISR-340772",23.9052,1094
