"","population","individual","tracking_year","b","c","exposure_score","CI_lower","CI_upper"
"1","Alkefjellet","NOS.4182652",2015,1.00000000003547,0.994166107470613,22.7556,13.15127,28.30151
"2","Alkefjellet","NOS.4182652",2016,1.00000000009095,0.993764589319035,23.2569,13.15127,28.30151
"3","Alkefjellet","NOS.4182653",2015,1.00000000034561,0.992530961068631,21.3527,13.15127,28.30151
"4","Alkefjellet","NOS.4182653",2016,0.999999999719876,0.994763311435417,22.218,13.15127,28.30151
"5","Alkefjellet","NOS.4182653",2017,1.00000000028376,0.993875461128494,24.3127,13.15127,28.30151
"6","Alkefjellet","NOS.4182653",2018,1.00000000006185,0.993771341069392,21.2087,13.15127,28.30151
"7","Alkefjellet","NOS.4182653",2019,0.999999999908141,0.991069588045254,27.8046,13.15127,28.30151
"8","Alkefjellet","NOS.4182653",2020,1.00000000026648,0.98745309330307,28.3892,13.15127,28.30151
"9","Alkefjellet","NOS.4182654",2015,0.999999999625743,0.998755148250889,13.2735,13.15127,28.30151
"10","Alkefjellet","NOS.4182654",2016,0.999999999941792,0.994937808109765,17.5485,13.15127,28.30151
"11","Alkefjellet","NOS.4182654",2017,1.00000000025193,0.993282129333398,20.6065,13.15127,28.30151
"12","Alkefjellet","NOS.4182654",2018,1.00000000010641,0.990074823595704,21.7239,13.15127,28.30151
"13","Alkefjellet","NOS.4182655",2015,1.00000000020827,0.996663412730155,18.0137,13.15127,28.30151
"14","Alkefjellet","NOS.4182655",2016,0.999999999828106,0.990061612165951,18.9405,13.15127,28.30151
"15","Alkefjellet","NOS.4182655",2017,0.999999999648935,0.989441146080223,13.1297,13.15127,28.30151
"16","Alkefjellet","NOS.4182656",2016,0.99999999978354,0.995856915729074,14.4947,13.15127,28.30151
"17","Alkefjellet","NOS.4182657",2016,0.999999999767169,0.993772622078927,11.1745,13.15127,28.30151
"18","Alkefjellet","NOS.4182657",2018,1.00000000018554,0.986622558141691,18.0301,13.15127,28.30151
"19","Alkefjellet","NOS.4182657",2019,0.999999999942702,0.987334608811011,27.0941,13.15127,28.30151
"20","Alkefjellet","NOS.4182657",2020,0.999999999706233,0.99182222321522,14.1817,13.15127,28.30151
