"","population","month","b","c","exposure_score","CI_lower","CI_upper"
"1","Barents Sea",1,1.00000000034561,0.990402934337628,24.1779,17.10785,26.8212
"2","Barents Sea",10,1.00000000003729,0.991838283100629,23.4471,17.10785,26.8212
"3","Barents Sea",11,0.99999999994543,0.990954120943596,26.8212,17.10785,26.8212
"4","Barents Sea",12,0.99999999994543,0.990954120943596,26.8212,17.10785,26.8212
"5","Barents Sea",2,1.00000000003001,0.990390245507415,24.2424,17.10785,26.8212
"6","Barents Sea",3,0.999999999976353,0.990617373548171,24.5177,17.10785,26.8212
"7","Barents Sea",4,1.00000000043656,0.995798833804152,18.5551,17.10785,26.8212
"8","Barents Sea",5,0.999999999849024,0.995232190274594,17.6321,17.10785,26.8212
"9","Barents Sea",6,1.00000000001728,0.994450130143595,16.9481,17.10785,26.8212
"10","Barents Sea",7,0.999999999991815,0.993834973067973,17.5871,17.10785,26.8212
"11","Barents Sea",8,0.999999999991815,0.993834973067973,17.5871,17.10785,26.8212
"12","Canadian Eastern Arctic - West Greenland",1,0.999999999939973,1.00927368966598,21.4989,19.71383,21.4611875
"13","Canadian Eastern Arctic - West Greenland",10,0.999999999796273,1.00611149801128,20.8218,19.71383,21.4611875
"14","Canadian Eastern Arctic - West Greenland",11,1.00000000046748,1.00945195578409,21.0686,19.71383,21.4611875
"15","Canadian Eastern Arctic - West Greenland",12,0.999999999962711,0.988559371925365,20.8173,19.71383,21.4611875
"16","Canadian Eastern Arctic - West Greenland",5,1.00000000028467,1.01020189648494,20.1029,19.71383,21.4611875
"17","Canadian Eastern Arctic - West Greenland",7,0.999999999434294,1.01043388606286,19.6313,19.71383,21.4611875
"18","Canadian Eastern Arctic - West Greenland",8,1.00000000012733,1.00478503204803,20.6722,19.71383,21.4611875
"19","Canadian Eastern Arctic - West Greenland",9,0.99999999974898,1.0106069600716,21.2834,19.71383,21.4611875
"20","Faroe Plateau",1,1.00000000017644,0.995018065915421,25.5598,25.2614625,27.308355
"21","Faroe Plateau",10,0.999999999663487,0.993221308713186,25.3743,25.2614625,27.308355
"22","Faroe Plateau",11,1.00000000040018,0.995370956599657,25.4316,25.2614625,27.308355
"23","Faroe Plateau",12,1.00000000020373,0.995407209342915,27.9716,25.2614625,27.308355
"24","Faroe Plateau",2,1.00000000041473,0.995913587106449,25.5554,25.2614625,27.308355
"25","Faroe Plateau",3,1.0000000000764,0.99740614823339,25.5364,25.2614625,27.308355
"26","Faroe Plateau",4,0.999999999772626,0.99413773277189,25.4217,25.2614625,27.308355
"27","Faroe Plateau",5,1.00000000032196,0.995516038978105,25.4067,25.2614625,27.308355
"28","Faroe Plateau",6,1.00000000093314,0.996240512431553,25.455,25.2614625,27.308355
"29","Faroe Plateau",7,1.00000000038926,0.996039032880372,25.4905,25.2614625,27.308355
"30","Faroe Plateau",8,1.00000000029286,0.99475943128433,25.2528,25.2614625,27.308355
"31","Faroe Plateau",9,1.00000000013642,0.99177123707196,25.2843,25.2614625,27.308355
"32","Iceland Shelf and Sea",1,0.99999999983902,0.99987659653008,24.8429,23.94787,24.806985
"33","Iceland Shelf and Sea",10,1.00000000022101,0.998938123960995,24.5406,23.94787,24.806985
"34","Iceland Shelf and Sea",11,0.999999999794454,0.997726180135906,24.7123,23.94787,24.806985
"35","Iceland Shelf and Sea",12,1.00000000060936,0.9902193104567,24.4934,23.94787,24.806985
"36","Iceland Shelf and Sea",2,0.999999999386091,1.00552730095878,24.6338,23.94787,24.806985
"37","Iceland Shelf and Sea",3,1.00000000041473,1.00614609978068,24.2309,23.94787,24.806985
"38","Iceland Shelf and Sea",4,0.99999999982083,1.00429837729477,23.8998,23.94787,24.806985
"39","Iceland Shelf and Sea",5,1.00000000058753,1.001545545686,24.0746,23.94787,24.806985
"40","Iceland Shelf and Sea",6,1.00000000042655,0.998971110823157,24.0786,23.94787,24.806985
"41","Iceland Shelf and Sea",7,0.999999999625288,1.00027838305271,24.4689,23.94787,24.806985
"42","Iceland Shelf and Sea",8,0.999999999813554,0.99729720781308,24.2745,23.94787,24.806985
"43","Iceland Shelf and Sea",9,0.999999999995453,0.999429683374144,24.0967,23.94787,24.806985
"44","North Sea",1,0.999999999979082,1.01212009633067,27.2498,25.91754,28.0206625
"45","North Sea",10,0.999999999647116,1.00979351299633,27.2742,25.91754,28.0206625
"46","North Sea",11,1.00000000053205,1.01573088870953,27.296,25.91754,28.0206625
"47","North Sea",12,1.00000000018372,0.993523809899941,25.4122,25.91754,28.0206625
"48","North Sea",2,1.00000000027012,1.01632508674679,27.5943,25.91754,28.0206625
"49","North Sea",3,1.00000000025739,1.01264100720499,27.2648,25.91754,28.0206625
"50","North Sea",4,0.999999999505235,1.01221790306094,27.3358,25.91754,28.0206625
"51","North Sea",5,0.999999999672582,1.01797207527953,27.4372,25.91754,28.0206625
"52","North Sea",6,1.00000000009095,1.01090769832846,27.3632,25.91754,28.0206625
"53","North Sea",7,1.00000000038563,1.00784323239688,27.5948,25.91754,28.0206625
"54","North Sea",8,1.00000000003183,1.01073583413032,28.0472,25.91754,28.0206625
"55","North Sea",9,0.999999999767169,1.01316587544808,27.9507,25.91754,28.0206625
