"","Region","Month","pers","Sample_size_for_kde","vals","nas","percent_na"
"1","Barents.Sea",1,24.1779,7384,585,209,35.7264957264957
"2","Barents.Sea",10,23.4471,14894,581,192,33.0464716006885
"3","Barents.Sea",11,26.8212,9121,529,126,23.8185255198488
"4","Barents.Sea",12,26.8212,6801,529,126,23.8185255198488
"5","Barents.Sea",2,24.2424,7280,526,191,36.3117870722433
"6","Barents.Sea",3,24.5177,7285,581,226,38.8984509466437
"7","Barents.Sea",4,18.5551,7348,638,333,52.1943573667712
"8","Barents.Sea",5,17.6321,4644,571,326,57.092819614711
"9","Barents.Sea",6,16.9481,4607,658,375,56.9908814589666
"10","Barents.Sea",7,17.5871,5086,846,436,51.5366430260047
"11","Barents.Sea",8,17.5871,11107,846,436,51.5366430260047
"12","Canadian.Eastern.Arctic...West.Greenland",1,21.4989,147,124,7,5.64516129032258
"13","Canadian.Eastern.Arctic...West.Greenland",10,20.8218,415,209,10,4.78468899521531
"14","Canadian.Eastern.Arctic...West.Greenland",11,21.0686,693,189,8,4.23280423280423
"15","Canadian.Eastern.Arctic...West.Greenland",12,20.8173,392,251,2,0.796812749003984
"16","Canadian.Eastern.Arctic...West.Greenland",5,20.1029,131,214,13,6.07476635514019
"17","Canadian.Eastern.Arctic...West.Greenland",7,19.6313,213,208,14,6.73076923076923
"18","Canadian.Eastern.Arctic...West.Greenland",8,20.6722,1108,209,10,4.78468899521531
"19","Canadian.Eastern.Arctic...West.Greenland",9,21.2834,516,180,8,4.44444444444444
"20","Celtic.Biscay.Shelf",1,28.1863,4110,205,7,3.41463414634146
"21","Celtic.Biscay.Shelf",10,28.2726,2064,214,7,3.27102803738318
"22","Celtic.Biscay.Shelf",11,27.9698,3254,217,7,3.2258064516129
"23","Celtic.Biscay.Shelf",12,27.0578,3973,187,8,4.27807486631016
"24","Celtic.Biscay.Shelf",2,28.5489,3283,205,7,3.41463414634146
"25","Celtic.Biscay.Shelf",3,27.8771,3354,208,8,3.84615384615385
"26","Celtic.Biscay.Shelf",4,27.9118,4445,216,7,3.24074074074074
"27","Celtic.Biscay.Shelf",5,27.7697,4197,219,8,3.65296803652968
"28","Celtic.Biscay.Shelf",6,27.7764,3777,219,9,4.10958904109589
"29","Celtic.Biscay.Shelf",7,28.0667,4146,206,8,3.88349514563107
"30","Celtic.Biscay.Shelf",8,27.9358,2903,196,7,3.57142857142857
