"population","month","b","c","exposure_score"
"Barents.Sea","1","1.00000000034561","0.990402934337628","24.1779"
"Barents.Sea","10","1.00000000003729","0.991838283100629","23.4471"
"Barents.Sea","11","0.99999999994543","0.990954120943596","26.8212"
"Barents.Sea","12","0.99999999994543","0.990954120943596","26.8212"
"Barents.Sea","2","1.00000000003001","0.990390245507415","24.2424"
"Barents.Sea","3","0.999999999976353","0.990617373548171","24.5177"
"Barents.Sea","4","1.00000000043656","0.995798833804152","18.5551"
"Barents.Sea","5","0.999999999849024","0.995232190274594","17.6321"
"Barents.Sea","6","1.00000000001728","0.994450130143595","16.9481"
"Barents.Sea","7","0.999999999991815","0.993834973067973","17.5871"
"Barents.Sea","8","0.999999999991815","0.993834973067973","17.5871"
"Canadian.Eastern.Arctic...West.Greenland","1","0.999999999939973","1.00927368966598","21.4989"
"Canadian.Eastern.Arctic...West.Greenland","10","0.999999999796273","1.00611149801128","20.8218"
"Canadian.Eastern.Arctic...West.Greenland","11","1.00000000046748","1.00945195578409","21.0686"
"Canadian.Eastern.Arctic...West.Greenland","12","0.999999999962711","0.988559371925365","20.8173"
"Canadian.Eastern.Arctic...West.Greenland","5","1.00000000028467","1.01020189648494","20.1029"
"Canadian.Eastern.Arctic...West.Greenland","7","0.999999999434294","1.01043388606286","19.6313"
"Canadian.Eastern.Arctic...West.Greenland","8","1.00000000012733","1.00478503204803","20.6722"
"Canadian.Eastern.Arctic...West.Greenland","9","0.99999999974898","1.0106069600716","21.2834"
"Celtic.Biscay.Shelf","1","0.99999999982083","0.986396176306688","28.1863"
"Celtic.Biscay.Shelf","10","0.999999999966349","0.991033102524655","28.2726"
"Celtic.Biscay.Shelf","11","0.999999999656211","0.996162208945357","27.9698"
"Celtic.Biscay.Shelf","12","1.0000000000191","1.01039105892978","27.0578"
"Celtic.Biscay.Shelf","2","1.00000000009913","0.992590680743208","28.5489"
"Celtic.Biscay.Shelf","3","1.00000000009095","0.996663872480795","27.8771"
"Celtic.Biscay.Shelf","4","1.00000000042292","0.995352191072507","27.9118"
"Celtic.Biscay.Shelf","5","0.999999999717147","0.999249521757491","27.7697"
"Celtic.Biscay.Shelf","6","1.00000000045929","0.995182508996931","27.7764"
"Celtic.Biscay.Shelf","7","0.999999999813554","1.00481325597306","28.0667"
"Celtic.Biscay.Shelf","8","0.999999999290594","0.987166807320837","27.9358"
"Celtic.Biscay.Shelf","9","1.00000000015461","0.989437937248793","28.1917"
"Faroe.Plateau","1","1.00000000017644","0.995018065915421","25.5598"
"Faroe.Plateau","10","0.999999999663487","0.993221308713186","25.3743"
"Faroe.Plateau","11","1.00000000040018","0.995370956599657","25.4316"
"Faroe.Plateau","12","1.00000000020373","0.995407209342915","27.9716"
"Faroe.Plateau","2","1.00000000041473","0.995913587106449","25.5554"
"Faroe.Plateau","3","1.0000000000764","0.99740614823339","25.5364"
"Faroe.Plateau","4","0.999999999772626","0.99413773277189","25.4217"
"Faroe.Plateau","5","1.00000000032196","0.995516038978105","25.4067"
"Faroe.Plateau","6","1.00000000093314","0.996240512431553","25.455"
"Faroe.Plateau","7","1.00000000038926","0.996039032880372","25.4905"
"Faroe.Plateau","8","1.00000000029286","0.99475943128433","25.2528"
"Faroe.Plateau","9","1.00000000013642","0.99177123707196","25.2843"
"Greenland.Sea","1","1.00000000060936","0.9902193104567","24.4934"
"Greenland.Sea","10","0.999999999821284","0.990918329246702","23.7533"
"Greenland.Sea","11","1.00000000002774","0.991218662017178","23.9997"
"Greenland.Sea","12","1.00000000002774","0.991218662017178","23.9997"
"Greenland.Sea","3","1.00000000013779","0.992683577234674","25.005"
"Greenland.Sea","4","0.99999999932561","0.99037798352173","23.7121"
"Greenland.Sea","5","1.00000000024102","0.990759876782097","24.931"
"Greenland.Sea","6","1.00000000043519","0.991674329254553","24.4301"
"Greenland.Sea","7","0.999999999926786","0.987646130178093","21.6368"
"Greenland.Sea","8","0.999999999888132","0.990689198496411","21.1254"
"Greenland.Sea","9","1.00000000014279","0.991415642295465","21.6416"
"Hudson.Bay.Complex","8","0.999999999123247","1.01661993732698","17.0195"
"Hudson.Bay.Complex","9","1.00000000048021","0.991805219224773","12.6642"
"Iceland.Shelf.and.Sea","1","0.99999999983902","0.99987659653008","24.8429"
"Iceland.Shelf.and.Sea","10","1.00000000022101","0.998938123960995","24.5406"
"Iceland.Shelf.and.Sea","11","0.999999999794454","0.997726180135906","24.7123"
"Iceland.Shelf.and.Sea","12","1.00000000060936","0.9902193104567","24.4934"
"Iceland.Shelf.and.Sea","2","0.999999999386091","1.00552730095878","24.6338"
"Iceland.Shelf.and.Sea","3","1.00000000041473","1.00614609978068","24.2309"
"Iceland.Shelf.and.Sea","4","0.99999999982083","1.00429837729477","23.8998"
"Iceland.Shelf.and.Sea","5","1.00000000058753","1.001545545686","24.0746"
"Iceland.Shelf.and.Sea","6","1.00000000042655","0.998971110823157","24.0786"
"Iceland.Shelf.and.Sea","7","0.999999999625288","1.00027838305271","24.4689"
"Iceland.Shelf.and.Sea","8","0.999999999813554","0.99729720781308","24.2745"
"Iceland.Shelf.and.Sea","9","0.999999999995453","0.999429683374144","24.0967"
"Kara.Sea","11","0.999999999419742","0.99867609540639","25.7701"
"Kara.Sea","12","1.00000000062937","1.01329210827047","16.814"
"Labrador...Newfoundland","10","1.00000000010641","0.988355931441475","21.2332"
"Labrador...Newfoundland","11","0.999999999774445","0.988943609491009","20.0068"
"Labrador...Newfoundland","12","1.00000000028831","0.989662705178561","27.4138"
"Labrador...Newfoundland","7","0.999999999587089","0.9893093754487","20.6902"
"Labrador...Newfoundland","8","1.00000000032742","0.991858906689757","21.209"
"Labrador...Newfoundland","9","0.999999999976353","0.993380999286919","22.409"
"North.Sea","1","0.999999999979082","1.01212009633067","27.2498"
"North.Sea","10","0.999999999647116","1.00979351299633","27.2742"
"North.Sea","11","1.00000000053205","1.01573088870953","27.296"
"North.Sea","12","1.00000000018372","0.993523809899941","25.4122"
"North.Sea","2","1.00000000027012","1.01632508674679","27.5943"
"North.Sea","3","1.00000000025739","1.01264100720499","27.2648"
"North.Sea","4","0.999999999505235","1.01221790306094","27.3358"
"North.Sea","5","0.999999999672582","1.01797207527953","27.4372"
"North.Sea","6","1.00000000009095","1.01090769832846","27.3632"
"North.Sea","7","1.00000000038563","1.00784323239688","27.5948"
"North.Sea","8","1.00000000003183","1.01073583413032","28.0472"
"North.Sea","9","0.999999999767169","1.01316587544808","27.9507"
"Northeast.U.S..Continental.Shelf","1","0.9999999995689","0.998288976724635","24.0158"
"Northeast.U.S..Continental.Shelf","11","0.999999999421561","0.991838944711791","24.528"
"Northeast.U.S..Continental.Shelf","12","0.999999999991815","0.993834973067973","17.5871"
"Norwegian.Sea","1","0.999999999921783","0.993396891767015","27.6388"
"Norwegian.Sea","10","1.00000000025193","0.993917213854697","27.8334"
"Norwegian.Sea","11","0.999999999826287","0.992542288985948","27.9848"
"Norwegian.Sea","12","1.00000000052569","0.998702102558146","24.8309"
"Norwegian.Sea","2","0.999999999881766","0.994241261008231","27.5788"
"Norwegian.Sea","3","0.999999999756255","0.994499317440293","27.9179"
"Norwegian.Sea","4","0.999999999814463","0.99445187627116","27.6732"
"Norwegian.Sea","5","0.999999999697138","0.992573817567712","26.9515"
"Norwegian.Sea","6","0.99999999963984","0.994535290116984","27.3955"
"Norwegian.Sea","7","0.999999999997272","0.994158714521362","27.6857"
