"name","vals","nas","percent_na"
"Barents.Sea_1",585,209,35.7264957264957
"Barents.Sea_10",581,192,33.0464716006885
"Barents.Sea_11",529,126,23.8185255198488
"Barents.Sea_12",529,126,23.8185255198488
"Barents.Sea_2",526,191,36.3117870722433
"Barents.Sea_3",581,226,38.8984509466437
"Barents.Sea_4",638,333,52.1943573667712
"Barents.Sea_5",571,326,57.092819614711
"Barents.Sea_6",658,375,56.9908814589666
"Barents.Sea_7",846,436,51.5366430260047
"Barents.Sea_8",846,436,51.5366430260047
"Canadian.Eastern.Arctic...West.Greenland_1",124,7,5.64516129032258
"Canadian.Eastern.Arctic...West.Greenland_10",209,10,4.78468899521531
"Canadian.Eastern.Arctic...West.Greenland_11",189,8,4.23280423280423
"Canadian.Eastern.Arctic...West.Greenland_12",251,2,0.796812749003984
"Canadian.Eastern.Arctic...West.Greenland_5",214,13,6.07476635514019
"Canadian.Eastern.Arctic...West.Greenland_7",208,14,6.73076923076923
"Canadian.Eastern.Arctic...West.Greenland_8",209,10,4.78468899521531
"Canadian.Eastern.Arctic...West.Greenland_9",180,8,4.44444444444444
"Celtic.Biscay.Shelf_1",205,7,3.41463414634146
"Celtic.Biscay.Shelf_10",214,7,3.27102803738318
"Celtic.Biscay.Shelf_11",217,7,3.2258064516129
"Celtic.Biscay.Shelf_12",187,8,4.27807486631016
"Celtic.Biscay.Shelf_2",205,7,3.41463414634146
"Celtic.Biscay.Shelf_3",208,8,3.84615384615385
"Celtic.Biscay.Shelf_4",216,7,3.24074074074074
"Celtic.Biscay.Shelf_5",219,8,3.65296803652968
"Celtic.Biscay.Shelf_6",219,9,4.10958904109589
"Celtic.Biscay.Shelf_7",206,8,3.88349514563107
"Celtic.Biscay.Shelf_8",196,7,3.57142857142857
"Celtic.Biscay.Shelf_9",208,9,4.32692307692308
"Faroe.Plateau_1",153,0,0
"Faroe.Plateau_10",157,0,0
"Faroe.Plateau_11",154,0,0
"Faroe.Plateau_12",459,4,0.871459694989107
"Faroe.Plateau_2",158,0,0
"Faroe.Plateau_3",158,0,0
"Faroe.Plateau_4",152,0,0
"Faroe.Plateau_5",154,0,0
"Faroe.Plateau_6",154,0,0
"Faroe.Plateau_7",158,0,0
"Faroe.Plateau_8",154,1,0.649350649350649
"Faroe.Plateau_9",164,0,0
"Greenland.Sea_1",499,57,11.4228456913828
"Greenland.Sea_10",586,108,18.4300341296928
"Greenland.Sea_11",552,79,14.3115942028986
