"colony","year","n_birds_tracked"
"Alkefjellet",2015,4
"Alkefjellet",2016,13
"Alkefjellet",2017,13
"Alkefjellet",2018,12
"Alkefjellet",2019,9
"Alkefjellet",2020,8
"Alkefjellet",2021,5
"Bjørnøya",2014,23
"Bjørnøya",2015,27
"Bjørnøya",2016,27
"Bjørnøya",2017,26
"Bjørnøya",2018,18
"Bjørnøya",2019,10
"Eynhallow",2006,3
"Eynhallow",2007,12
"Eynhallow",2008,32
"Eynhallow",2009,34
"Eynhallow",2010,53
"Eynhallow",2011,48
"Eynhallow",2012,26
"Eynhallow",2013,4
"Eynhallow",2014,32
"Eynhallow",2015,45
"Eynhallow",2016,48
"Eynhallow",2017,52
"Eynhallow",2018,58
"Eynhallow",2019,40
"Eynhallow",2020,27
"Eynhallow",2021,21
"Faroe Islands",2015,7
"Faroe Islands",2016,16
"Faroe Islands",2017,15
"Faroe Islands",2018,9
"Faroe Islands",2019,1
"Faroe Islands",2020,3
"Faroe Islands",2021,2
"Inishkea",2019,4
"Inishkea",2020,4
"Inishkea",2021,4
"Isle of Canna",2014,8
"Isle of Canna",2015,8
"Isle of Canna",2016,2
"Jan Mayen",2014,19
"Jan Mayen",2015,25
"Jan Mayen",2016,33
"Jan Mayen",2017,40
"Jan Mayen",2018,40
"Jan Mayen",2019,28
"Jan Mayen",2020,8
"Jan Mayen",2021,7
"Jarsteinen",2011,5
"Jarsteinen",2012,5
"Jarsteinen",2013,5
"Jarsteinen",2015,2
"Jarsteinen",2016,4
"Jarsteinen",2017,7
"Jarsteinen",2018,9
"Jarsteinen",2019,7
"Jarsteinen",2020,2
"Jarsteinen",2021,1
"Langanes",2014,1
"Langanes",2015,1
"Langanes",2016,3
"Langanes",2017,3
"Langanes",2018,2
"Langanes",2019,1
"Little Saltee",2010,19
"Little Saltee",2011,19
"Little Saltee",2012,3
"Little Saltee",2019,5
"Little Saltee",2020,14
"Little Saltee",2021,12
"Skjalfandi",2014,19
"Skjalfandi",2015,27
"Skjalfandi",2016,35
"Skjalfandi",2017,42
"Skjalfandi",2018,41
"Skjalfandi",2019,31
"Skjalfandi",2020,25
"Skjalfandi",2021,10
