"","Colony","Overlap_score","Number_of_individuals","Just_colony","Tracking_year"
"1","Alkefjellet_2015",0.854636128180541,4,"Alkefjellet","2015"
"2","Alkefjellet_2016",0.85219107708479,13,"Alkefjellet","2016"
"3","Alkefjellet_2017",0.86999884159444,9,"Alkefjellet","2017"
"4","Alkefjellet_2018",0.886609176956912,9,"Alkefjellet","2018"
"5","Alkefjellet_2019",0.910945096847155,7,"Alkefjellet","2019"
"6","Alkefjellet_2020",0.829296509188617,5,"Alkefjellet","2020"
"7","Bjørnøya_2014",0.948135117967022,23,"Bjørnøya","2014"
"8","Bjørnøya_2015",0.925376396620909,22,"Bjørnøya","2015"
"9","Bjørnøya_2016",0.907101549731657,19,"Bjørnøya","2016"
"10","Bjørnøya_2017",0.895190772812035,17,"Bjørnøya","2017"
"11","Bjørnøya_2018",0.946426199417054,10,"Bjørnøya","2018"
"12","Combined_2014",0.793064451952469,20,"Combined","2014"
"13","Combined_2015",0.756734290187719,27,"Combined","2015"
"14","Combined_2016",0.747076236236632,36,"Combined","2016"
"15","Combined_2017",0.72024367097077,36,"Combined","2017"
"16","Combined_2018",0.741413016171321,30,"Combined","2018"
"17","Combined_2019",0.776003630590765,21,"Combined","2019"
"18","Combined_2020",0.743149986088442,10,"Combined","2020"
"19","Eynhallow_2006",0.91941787410495,3,"Eynhallow","2006"
"20","Eynhallow_2007",0.663922668393317,10,"Eynhallow","2007"
"21","Eynhallow_2008",0.686356537814746,24,"Eynhallow","2008"
"22","Eynhallow_2009",0.806594260272531,22,"Eynhallow","2009"
"23","Eynhallow_2010",0.759231223100251,46,"Eynhallow","2010"
"24","Eynhallow_2011",0.709638494955136,25,"Eynhallow","2011"
"25","Eynhallow_2012",0.846324679053653,5,"Eynhallow","2012"
"26","Eynhallow_2014",0.777338347736398,31,"Eynhallow","2014"
"27","Eynhallow_2015",0.7849169278001,30,"Eynhallow","2015"
"28","Eynhallow_2016",0.792121637264132,34,"Eynhallow","2016"
"29","Eynhallow_2017",0.75969046980361,46,"Eynhallow","2017"
"30","Eynhallow_2018",0.798002902833232,34,"Eynhallow","2018"
"31","Eynhallow_2019",0.787700922564988,29,"Eynhallow","2019"
"32","Eynhallow_2020",0.766175696191604,22,"Eynhallow","2020"
"33","Faroe Islands_2015",0.777535385873812,7,"Faroe Islands","2015"
"34","Faroe Islands_2016",0.761953544402724,11,"Faroe Islands","2016"
"35","Faroe Islands_2017",0.738392095299149,9,"Faroe Islands","2017"
"36","Faroe Islands_2020",0.833102464344544,2,"Faroe Islands","2020"
"37","Inishkea_2019",0.935553942498613,4,"Inishkea","2019"
"38","Inishkea_2020",0.879683075852807,4,"Inishkea","2020"
"39","Isle of Canna_2014",0.703241774796946,8,"Isle of Canna","2014"
"40","Isle of Canna_2015",0.928038998420651,2,"Isle of Canna","2015"
"41","Jan Mayen_2014",0.769266856159374,19,"Jan Mayen","2014"
"42","Jan Mayen_2015",0.777124294182511,20,"Jan Mayen","2015"
"43","Jan Mayen_2016",0.802736650102598,29,"Jan Mayen","2016"
"44","Jan Mayen_2017",0.770507806960578,34,"Jan Mayen","2017"
"45","Jan Mayen_2018",0.725110621249515,27,"Jan Mayen","2018"
"46","Jan Mayen_2019",0.735412516080581,8,"Jan Mayen","2019"
"47","Jan Mayen_2020",0.791751064316381,7,"Jan Mayen","2020"
"48","Jarsteinen_2011",0.743170124455777,5,"Jarsteinen","2011"
"49","Jarsteinen_2012",0.851808382937366,5,"Jarsteinen","2012"
"50","Jarsteinen_2015",0.922473308118635,2,"Jarsteinen","2015"
"51","Jarsteinen_2016",0.837894425109302,4,"Jarsteinen","2016"
"52","Jarsteinen_2017",0.799447529624074,6,"Jarsteinen","2017"
"53","Jarsteinen_2018",0.772821460838235,6,"Jarsteinen","2018"
"54","Jarsteinen_2019",0.812862355063604,2,"Jarsteinen","2019"
"55","Little Saltee_2010",0.937927838509713,19,"Little Saltee","2010"
"56","Little Saltee_2011",0.994481464957202,3,"Little Saltee","2011"
"57","Little Saltee_2019",0.87597152577744,5,"Little Saltee","2019"
"58","Little Saltee_2020",0.862488552756345,12,"Little Saltee","2020"
