"","Overlap_score","Sample_size_for_kde","Just_colony","Tracking_year"
"2",0.436584920659239,2388,"Faroe Islands","2015"
"3",0.415427255199348,4001,"Faroe Islands","2016"
"4",0.642225253403171,727,"Faroe Islands","2020"
"5",0.419773919864991,3272,"Faroe Islands","2017"
"6",0.300909537814131,6698,"Eynhallow","2008"
"7",0.51921556170116,7844,"Eynhallow","2009"
"8",0.415005908182966,16638,"Eynhallow","2010"
"9",0.442291910533168,11269,"Eynhallow","2014"
"10",0.450847405139503,10969,"Eynhallow","2015"
"11",0.463632666231477,12044,"Eynhallow","2016"
"12",0.414542383894302,16343,"Eynhallow","2017"
"13",0.463096666077349,12170,"Eynhallow","2018"
"14",0.701140600110308,1090,"Eynhallow","2006"
"15",0.313649859141718,3654,"Eynhallow","2007"
"16",0.384184031190037,9142,"Eynhallow","2011"
"17",0.439307559119568,9873,"Eynhallow","2019"
"18",0.453093647953894,7002,"Eynhallow","2020"
"19",0.495043902032837,1547,"Eynhallow","2012"
"20",0.715407005614486,6916,"Little Saltee","2010"
"21",0.944984485663738,1098,"Little Saltee","2011"
"22",0.59817673198751,4368,"Little Saltee","2020"
"23",0.607233232766852,1830,"Little Saltee","2019"
"24",0.640277465264337,1464,"Inishkea","2019"
"25",0.641275219772685,1456,"Inishkea","2020"
"26",0.369443160487986,2788,"Isle of Canna","2014"
"27",0.811472606322049,731,"Isle of Canna","2015"
"28",0.487718536726277,7273,"Combined","2014"
"29",0.383201750409064,9870,"Combined","2015"
"30",0.403087017207185,13087,"Combined","2016"
"31",0.360678637166891,12889,"Combined","2017"
"32",0.403037159421785,10585,"Combined","2018"
"33",0.416151648342715,7680,"Combined","2019"
"34",0.378139396048652,3639,"Combined","2020"
"35",0.527125654012768,2187,"Jarsteinen","2017"
"36",0.636988513994474,732,"Jarsteinen","2019"
"37",0.384377101405953,1833,"Jarsteinen","2011"
"38",0.545174689480019,1819,"Jarsteinen","2012"
"39",0.78309742857952,732,"Jarsteinen","2015"
"40",0.493659700426216,1458,"Jarsteinen","2016"
"41",0.400627828162754,2184,"Jarsteinen","2018"
"42",0.743775545932815,8372,"Bjørnøya","2014"
"43",0.703489603707902,8052,"Bjørnøya","2015"
"44",0.648875799876538,6876,"Bjørnøya","2016"
"45",0.66216884153974,5883,"Bjørnøya","2017"
"46",0.748614646021218,3639,"Bjørnøya","2018"
"47",0.427613928892225,11806,"Jan Mayen","2017"
"48",0.382482611094514,9412,"Jan Mayen","2018"
"49",0.484843256943394,10465,"Jan Mayen","2016"
"50",0.415440007046776,6866,"Jan Mayen","2014"
"51",0.433080558092781,7308,"Jan Mayen","2015"
"52",0.383089992331121,2925,"Jan Mayen","2019"
"53",0.405003273993728,2544,"Jan Mayen","2020"
"54",0.520365015382942,1464,"Alkefjellet","2015"
"55",0.535628720603619,4612,"Alkefjellet","2016"
"56",0.620891708261446,3276,"Alkefjellet","2017"
"57",0.636279296681995,3275,"Alkefjellet","2018"
"58",0.64854047122137,2562,"Alkefjellet","2019"
"59",0.511467458810996,1820,"Alkefjellet","2020"
