"","Colony","udoi","ba","final_score"
"1","Alkefjellet",0.573175450653005,0.866494038097001,0.689954346682182
"2","Bjørnøya",0.698998290392965,0.923968055174042,0.795890922456227
"3","Combined",0.401329711740427,0.753301919702885,0.523669080345495
"4","Eynhallow",0.429616378758457,0.770691194411346,0.551694528111076
"5","Faroe Islands",0.463124508776549,0.776223101284303,0.580124477692988
"6","Inishkea",0.640775954116977,0.906758689298692,0.750909411639147
"7","Isle of Canna",0.507729700550719,0.80015139397841,0.621250095837134
"8","Jan Mayen",0.416389756298119,0.766516574789502,0.53963638774612
"9","Jarsteinen",0.510889105061319,0.81660134691861,0.628543475694127
"10","Little Saltee",0.692690521869198,0.914755206699428,0.788384018507958
