"name","vals","nas","percent_na"
"Alkefjellet_2006",2355,1693,71.8895966029724
"Alkefjellet_2007",2669,1682,63.0198576245785
"Alkefjellet_2008",3674,2507,68.2362547632009
"Alkefjellet_2009",3079,2013,65.3783696005196
"Alkefjellet_2010",2755,1718,62.3593466424682
"Alkefjellet_2011",2669,1682,63.0198576245785
"Alkefjellet_2019",2748,1710,62.2270742358079
"Alkefjellet_2020",2651,1665,62.8064881176914
"Bjørnøya_2006",2288,1664,72.7272727272727
"Bjørnøya_2007",2451,1429,58.3027335781314
"Bjørnøya_2008",2738,1633,59.6420745069394
"Bjørnøya_2009",2808,1614,57.4786324786325
"Bjørnøya_2010",2152,1249,58.0390334572491
"Combined_2006",4474,1632,36.4774251229325
"Combined_2007",4501,1438,31.9484558986892
"Combined_2008",5347,2426,45.371236207219
"Combined_2009",6136,3013,49.1036505867014
"Combined_2010",4953,1897,38.300020189784
"Combined_2011",3184,722,22.6758793969849
"Combined_2012",4359,1789,41.0415232851571
"Eynhallow_2006",4736,2009,42.4197635135135
"Eynhallow_2007",3995,1470,36.7959949937422
"Eynhallow_2008",4077,1182,28.9919058130979
"Eynhallow_2009",3421,767,22.4203449283835
"Eynhallow_2010",3926,1227,31.2531839021905
"Eynhallow_2011",5180,2470,47.6833976833977
"Eynhallow_2012",4192,1366,32.5858778625954
"Eynhallow_2014",3703,1041,28.1123413448555
"Eynhallow_2015",1946,414,21.2744090441932
"Eynhallow_2016",3589,1100,30.6492059069379
"Eynhallow_2017",4055,1466,36.1528976572133
"Eynhallow_2018",4258,1548,36.3550962893377
"Eynhallow_2019",3126,616,19.7056941778631
"Eynhallow_2020",2238,166,7.41733690795353
"Faroe.Islands_2006",3038,582,19.157340355497
"Faroe.Islands_2007",3077,696,22.6194345141371
"Faroe.Islands_2008",1939,288,14.853017019082
"Faroe.Islands_2009",4175,1554,37.2215568862275
"Faroe.Islands_2010",1422,58,4.07876230661041
"Faroe.Islands_2011",1352,35,2.5887573964497
"Faroe.Islands_2020",1745,97,5.55873925501433
"Inishkea_2006",1892,39,2.06131078224101
"Inishkea_2007",2122,82,3.86427898209237
"Inishkea_2020",2125,85,4
"Isle.of.Canna_2006",2748,397,14.4468704512373
"Isle.of.Canna_2007",1895,364,19.2084432717678
"Jan.Mayen_2006",3147,1054,33.4922148077534
"Jan.Mayen_2007",4554,1807,39.679402722881
"Jan.Mayen_2008",4884,2496,51.1056511056511
"Jan.Mayen_2009",4299,1723,40.0790881600372
"Jan.Mayen_2010",4056,1407,34.689349112426
"Jan.Mayen_2011",3757,1536,40.8836837902582
"Jan.Mayen_2012",3285,1067,32.4809741248097
"Jan.Mayen_2020",3280,1061,32.3475609756098
"Jarsteinen_2006",3951,1605,40.6226271829916
"Jarsteinen_2007",2225,191,8.58426966292135
"Jarsteinen_2008",1147,129,11.2467306015693
"Jarsteinen_2009",3355,1078,32.1311475409836
"Jarsteinen_2010",4143,1720,41.5158097996621
"Jarsteinen_2011",2735,638,23.327239488117
"Jarsteinen_2012",4113,1734,42.1590080233406
"Jarsteinen_2014",2788,439,15.7460545193687
"Jarsteinen_2020",883,102,11.5515288788222
"Langanes_2006",2203,289,13.1184748070813
"Langanes_2007",1974,153,7.75075987841945
"Langanes_2008",2495,512,20.5210420841683
"Langanes_2009",4400,2284,51.9090909090909
"Langanes_2010",1922,82,4.26638917793965
"Little.Saltee_2006",2371,142,5.98903416280051
"Little.Saltee_2007",669,24,3.58744394618834
"Little.Saltee_2008",2456,241,9.81270358306189
"Little.Saltee_2009",1987,81,4.07649723200805
"Little.Saltee_2020",2453,238,9.70240521810029
"Skjalfandi_2006",4465,1630,36.5061590145577
"Skjalfandi_2007",4508,1446,32.0763087843833
"Skjalfandi_2008",5304,2396,45.1734539969834
"Skjalfandi_2009",6111.99999999933,2997.99999999973,49.0510471204199
"Skjalfandi_2010",4963,1907,38.4243401168648
"Skjalfandi_2011",3186,722,22.661644695543
"Skjalfandi_2012",4359,1789,41.0415232851571
"Skjalfandi_2020",4201,1818,43.2754106165199
