"","Colony","Individual","Individ_id","pers","Number_of_tracks","vals","nas","percent_na"
"1","Alkefjellet",1,"NOS-4182652",23.0139,730,753,248,32.9349269588313
"2","Alkefjellet",10,"NOS-4182662",22.7105,688,657,254,38.6605783866058
"3","Alkefjellet",11,"NOS-4182663",24.0684,1092,598,210,35.1170568561873
"4","Alkefjellet",12,"NOS-4182664",24.9394,1822,491,152,30.9572301425662
"5","Alkefjellet",13,"NOS-4182665",26.3117,728,593,135,22.7655986509275
"6","Alkefjellet",14,"NOS-4182667",22.8172,730,897,358,39.9108138238573
"7","Alkefjellet",15,"NOS-4186205",24.479,364,481,128,26.6112266112266
"8","Alkefjellet",2,"NOS-4182653",24.2593,2188,724,214,29.5580110497238
"9","Alkefjellet",3,"NOS-4182654",18.2935,1458,786,318,40.4580152671756
"10","Alkefjellet",4,"NOS-4182655",16.8419,1094,906,457,50.4415011037528
"11","Alkefjellet",5,"NOS-4182656",14.4642,364,780,450,57.6923076923077
"12","Alkefjellet",6,"NOS-4182657",17.4639,1457,917,466,50.8178844056707
"13","Alkefjellet",7,"NOS-4182658",23.9283,1418,634,242,38.1703470031546
"14","Alkefjellet",8,"NOS-4182659",25.6935,1054,555,149,26.8468468468468
"15","Alkefjellet",9,"NOS-4182661",22.5526,1822,821,304,37.0280146163216
"16","Bjørnøya",1,"NOS-4181262",26.4194,730,418,77,18.4210526315789
"17","Bjørnøya",10,"NOS-4182533",26.4954,1822,484,100,20.6611570247934
"18","Bjørnøya",11,"NOS-4182534",23.5206,1458,680,229,33.6764705882353
"19","Bjørnøya",12,"NOS-4182535",27.1093,730,365,66,18.0821917808219
"20","Bjørnøya",13,"NOS-4182537",26.1333,1458,450,87,19.3333333333333
"21","Bjørnøya",14,"NOS-4182538",25.2225,730,511,171,33.4637964774951
"22","Bjørnøya",15,"NOS-4182539",21.132,1094,656,249,37.9573170731707
"23","Bjørnøya",16,"NOS-4182541",26.2984,1094,385,75,19.4805194805195
"24","Bjørnøya",17,"NOS-4182542",25.7066,730,388,80,20.6185567010309
"25","Bjørnøya",18,"NOS-4182543",27.302,364,443,68,15.3498871331828
"26","Bjørnøya",19,"NOS-4182544",23.6067,730,673,239,35.5126300148588
"27","Bjørnøya",2,"NOS-4181268",25.0589,366,347,89,25.6484149855908
"28","Bjørnøya",20,"NOS-4182545",25.1865,730,465,107,23.010752688172
"29","Bjørnøya",21,"NOS-4182546",23.3864,1458,636,205,32.2327044025157
"30","Bjørnøya",22,"NOS-4182548",25.7951,1094,378,82,21.6931216931217
"31","Bjørnøya",23,"NOS-4182549",26.5907,1458,589,114,19.3548387096774
"32","Bjørnøya",24,"NOS-4214401",26.9602,728,462,78,16.8831168831169
"33","Bjørnøya",25,"NOS-4214403",21.9803,1094,677,260,38.4047267355982
"34","Bjørnøya",26,"NOS-4214405",26.4019,786,472,86,18.2203389830508
"35","Bjørnøya",27,"NOS-4214408",26.4494,1094,554,116,20.9386281588448
"36","Bjørnøya",28,"NOS-4214433",25.1339,728,526,142,26.9961977186312
"37","Bjørnøya",29,"NOS-4214434",25.7897,728,492,146,29.6747967479675
"38","Bjørnøya",3,"NOS-4181271",23.0406,366,577,191,33.1022530329289
"39","Bjørnøya",30,"NOS-4214435",24.7345,1092,441,107,24.2630385487528
"40","Bjørnøya",31,"NOS-4282351",23.3953,728,509,156,30.6483300589391
"41","Bjørnøya",32,"NOS-4282353",26.3417,324,531,105,19.774011299435
"42","Bjørnøya",33,"NOS-4282356",24.3867,728,523,173,33.0783938814532
"43","Bjørnøya",34,"NOS-4282357",22.5801,728,424,142,33.4905660377358
"44","Bjørnøya",35,"NOS-4282358",26.1079,728,571,126,22.0665499124343
"45","Bjørnøya",36,"NOS-4282361",26.6628,728,455,101,22.1978021978022
"46","Bjørnøya",37,"NOS-4282362",27.3417,728,432,71,16.4351851851852
"47","Bjørnøya",38,"NOS-5109523",25.6289,364,459,111,24.1830065359477
"48","Bjørnøya",4,"NOS-4182521",26.4832,364,385,79,20.5194805194805
"49","Bjørnøya",5,"NOS-4182523",24.9035,1094,436,101,23.1651376146789
"50","Bjørnøya",6,"NOS-4182525",26.1896,364,434,65,14.9769585253456
"51","Bjørnøya",7,"NOS-4182526",24.776,1094,523,144,27.5334608030593
"52","Bjørnøya",8,"NOS-4182528",25.8298,1094,505,108,21.3861386138614
"53","Bjørnøya",9,"NOS-4182531",24.8113,1094,461,135,29.2841648590022
"54","Combined",1,"ISR-336161",23.4127,2188,960,15,1.5625
"55","Combined",1,"ISR-336161",23.4127,2188,576,17,2.95138888888889
"56","Combined",1,"ISR-336161",24.8863,2188,960,15,1.5625
"57","Combined",1,"ISR-336161",24.8863,2188,576,17,2.95138888888889
"58","Combined",10,"ISR-339223",22.915,1091,814,112,13.7592137592138
"59","Combined",11,"ISR-339226",23.7248,1092,811,78,9.61775585696671
"60","Combined",12,"ISR-339227",24.2018,2185,1021,147,14.3976493633692
"61","Combined",13,"ISR-339229",25.7752,2182,537,11,2.04841713221601
"62","Combined",14,"ISR-339230",24.4444,363,839,172,20.5005959475566
"63","Combined",15,"ISR-339231",23.6317,1819,994,18,1.81086519114688
"64","Combined",16,"ISR-339233",24.3843,1458,877,14,1.5963511972634
"65","Combined",17,"ISR-339234",23.5329,2188,780,16,2.05128205128205
"66","Combined",18,"ISR-339235",23.6169,1824,816,18,2.20588235294118
"67","Combined",19,"ISR-339237",24.0509,364,1079,21,1.94624652455978
"68","Combined",2,"ISR-336163",23.6433,2188,658,79,12.0060790273556
"69","Combined",2,"ISR-336163",23.6433,2188,717,20,2.78940027894003
"70","Combined",2,"ISR-336163",24.5834,2188,658,79,12.0060790273556
"71","Combined",2,"ISR-336163",24.5834,2188,717,20,2.78940027894003
"72","Combined",20,"ISR-339238",26.2525,1458,588,25,4.25170068027211
"73","Combined",21,"ISR-339239",25.2363,363,1241,16,1.28928283642224
"74","Combined",22,"ISR-339240",23.2482,1821,694,21,3.02593659942363
"75","Combined",23,"ISR-339242",24.5711,364,920,52,5.65217391304348
"76","Combined",24,"ISR-339243",25.0879,363,652,90,13.8036809815951
"77","Combined",25,"ISR-339244",23.4296,363,731,20,2.7359781121751
"78","Combined",26,"ISR-339245",24.785,728,804,17,2.11442786069652
"79","Combined",27,"ISR-339246",22.1064,1092,1304,281,21.5490797546012
"80","Combined",28,"ISR-339248",24.3163,728,1233,128,10.3811841038118
"81","Combined",29,"ISR-340703",23.1896,2070,694,18,2.59365994236311
"82","Combined",3,"ISR-336166",23.2912,1824,686,17,2.47813411078717
"83","Combined",3,"ISR-336166",23.2912,1824,1006,50,4.97017892644135
"84","Combined",3,"ISR-336166",24.5277,1824,686,17,2.47813411078717
"85","Combined",3,"ISR-336166",24.5277,1824,1006,50,4.97017892644135
"86","Combined",30,"ISR-340709",23.8131,1091,931,18,1.93340494092374
"87","Combined",31,"ISR-340719",23.6036,2185,621,16,2.57648953301127
"88","Combined",32,"ISR-340721",23.1833,1458,707,17,2.4045261669024
"89","Combined",33,"ISR-340732",19.1949,1824,524,15,2.86259541984733
"90","Combined",34,"ISR-340758",23.6492,2551,619,19,3.06946688206785
"91","Combined",35,"ISR-340760",22.8991,1094,524,18,3.43511450381679
"92","Combined",36,"ISR-340761",23.3717,1458,714,17,2.38095238095238
"93","Combined",37,"ISR-340770",24.1198,1092,1239,108,8.71670702179177
"94","Combined",38,"ISR-340772",23.9052,1094,1199,403,33.6113427856547
"95","Combined",39,"ISR-340790",22.9946,2188,727,25,3.43878954607978
"96","Combined",4,"ISR-336167",23.3168,726,783,188,24.0102171136654
"97","Combined",40,"ISR-340800",24.3947,1819,606,7,1.15511551155116
"98","Combined",41,"ISR-341696",22.3766,1455,1115,228,20.4484304932735
