"","colony","individ_id","ind_number_of_total_tracks"
"1","Alkefjellet","NOS-4182652",1182
"2","Alkefjellet","NOS-4182653",4099
"3","Alkefjellet","NOS-4182654",2663
"4","Alkefjellet","NOS-4182655",1941
"5","Alkefjellet","NOS-4182656",535
"6","Alkefjellet","NOS-4182657",2639
"7","Alkefjellet","NOS-4182658",2564
"8","Alkefjellet","NOS-4182659",1834
"9","Alkefjellet","NOS-4182661",3367
"10","Alkefjellet","NOS-4182662",1085
"11","Alkefjellet","NOS-4182663",1935
"12","Alkefjellet","NOS-4182664",3363
"13","Alkefjellet","NOS-4182665",1179
"14","Alkefjellet","NOS-4182667",1194
"15","Alkefjellet","NOS-4186205",469
"16","Bjørnøya","NOS-4181262",1196
"17","Bjørnøya","NOS-4181268",467
"18","Bjørnøya","NOS-4181271",561
"19","Bjørnøya","NOS-4182521",449
"20","Bjørnøya","NOS-4182523",1911
"21","Bjørnøya","NOS-4182525",467
"22","Bjørnøya","NOS-4182526",1917
"23","Bjørnøya","NOS-4182528",2000
"24","Bjørnøya","NOS-4182531",1961
"25","Bjørnøya","NOS-4182533",3406
"26","Bjørnøya","NOS-4182534",2398
"27","Bjørnøya","NOS-4182535",1215
"28","Bjørnøya","NOS-4182537",2671
"29","Bjørnøya","NOS-4182538",1176
"30","Bjørnøya","NOS-4182539",1925
"31","Bjørnøya","NOS-4182541",1915
"32","Bjørnøya","NOS-4182542",1176
"33","Bjørnøya","NOS-4182543",483
"34","Bjørnøya","NOS-4182544",1202
"35","Bjørnøya","NOS-4182545",1207
"36","Bjørnøya","NOS-4182546",2648
"37","Bjørnøya","NOS-4182548",1919
"38","Bjørnøya","NOS-4182549",2693
"39","Bjørnøya","NOS-4214401",954
"40","Bjørnøya","NOS-4214403",1943
"41","Bjørnøya","NOS-4214405",1241
"42","Bjørnøya","NOS-4214408",1941
"43","Bjørnøya","NOS-4214433",1196
"44","Bjørnøya","NOS-4214434",1179
"45","Bjørnøya","NOS-4214435",1923
"46","Bjørnøya","NOS-4282351",1193
"47","Bjørnøya","NOS-4282353",363
"48","Bjørnøya","NOS-4282356",1217
