"","colony","month","month_number_birds_tracked","month_number_of_total_tracks"
"1","Alkefjellet",1,15,2911
"2","Alkefjellet",10,15,2794
"3","Alkefjellet",11,15,2820
"4","Alkefjellet",12,15,2912
"5","Alkefjellet",2,15,2658
"6","Alkefjellet",3,15,2914
"7","Alkefjellet",4,15,2519
"8","Alkefjellet",5,14,2046
"9","Alkefjellet",6,13,1920
"10","Alkefjellet",7,13,1984
"11","Alkefjellet",8,13,2006
"12","Alkefjellet",9,15,2565
"13","Bjørnøya",1,38,5582
"14","Bjørnøya",10,38,5562
"15","Bjørnøya",11,38,5436
"16","Bjørnøya",12,38,5579
"17","Bjørnøya",2,38,5083
"18","Bjørnøya",3,38,5580
"19","Bjørnøya",4,38,4615
"20","Bjørnøya",5,31,3208
"21","Bjørnøya",6,30,3000
"22","Bjørnøya",7,30,3100
"23","Bjørnøya",8,35,3413
"24","Bjørnøya",9,37,5271
"25","Eynhallow",1,133,21446
"26","Eynhallow",10,136,22320
"27","Eynhallow",11,136,21357
"28","Eynhallow",12,135,21668
"29","Eynhallow",2,133,19094
"30","Eynhallow",3,130,20398
"31","Eynhallow",4,130,19691
"32","Eynhallow",5,129,19342
"33","Eynhallow",6,93,13006
"34","Eynhallow",7,138,18462
"35","Eynhallow",8,138,23180
"36","Eynhallow",9,138,21809
"37","Faroe Islands",1,22,1871
"38","Faroe Islands",10,22,1915
"39","Faroe Islands",11,22,1857
"40","Faroe Islands",12,22,1922
"41","Faroe Islands",2,21,1639
"42","Faroe Islands",3,21,1798
"43","Faroe Islands",4,21,1743
"44","Faroe Islands",5,21,1715
"45","Faroe Islands",6,8,540
"46","Faroe Islands",7,22,1321
"47","Faroe Islands",8,22,1928
"48","Faroe Islands",9,22,1864
"49","Inishkea",1,4,496
"50","Inishkea",10,4,496
"51","Inishkea",11,4,480
"52","Inishkea",12,4,496
"53","Inishkea",2,4,456
"54","Inishkea",3,4,496
"55","Inishkea",4,4,480
"56","Inishkea",5,4,441
"57","Inishkea",6,4,477
"58","Inishkea",7,4,496
"59","Inishkea",8,4,496
"60","Inishkea",9,4,480
"61","Isle of Canna",1,8,614
"62","Isle of Canna",10,8,621
"63","Isle of Canna",11,8,600
"64","Isle of Canna",12,8,618
"65","Isle of Canna",2,7,508
"66","Isle of Canna",3,7,558
"67","Isle of Canna",4,7,494
"68","Isle of Canna",5,6,426
"69","Isle of Canna",6,2,120
"70","Isle of Canna",7,8,488
"71","Isle of Canna",8,8,621
"72","Isle of Canna",9,8,601
"73","Jan Mayen",1,55,8757
"74","Jan Mayen",10,55,8573
"75","Jan Mayen",11,55,8593
"76","Jan Mayen",12,55,8797
"77","Jan Mayen",2,55,7926
"78","Jan Mayen",3,55,8680
"79","Jan Mayen",4,55,8276
"80","Jan Mayen",5,50,6051
"81","Jan Mayen",6,42,5182
"82","Jan Mayen",7,42,5427
"83","Jan Mayen",8,48,6504
"84","Jan Mayen",9,54,8076
"85","Jarsteinen",1,15,1924
"86","Jarsteinen",10,15,1918
"87","Jarsteinen",11,15,1865
"88","Jarsteinen",12,15,1926
"89","Jarsteinen",2,15,1754
"90","Jarsteinen",3,15,1922
"91","Jarsteinen",4,15,1864
"92","Jarsteinen",5,15,1864
"93","Jarsteinen",6,13,1217
"94","Jarsteinen",7,15,1737
"95","Jarsteinen",8,15,1964
"96","Jarsteinen",9,15,1861
"97","Langanes",1,3,496
"98","Langanes",10,3,493
"99","Langanes",11,3,480
"100","Langanes",12,3,496
"101","Langanes",2,3,451
"102","Langanes",3,3,496
"103","Langanes",4,3,476
"104","Langanes",5,3,358
"105","Langanes",6,3,300
"106","Langanes",7,3,315
"107","Langanes",8,3,462
"108","Langanes",9,3,482
"109","Little Saltee",1,32,2418
"110","Little Saltee",10,32,2420
"111","Little Saltee",11,32,2339
"112","Little Saltee",12,32,2417
"113","Little Saltee",2,32,2200
"114","Little Saltee",3,32,2418
"115","Little Saltee",4,32,2340
"116","Little Saltee",5,32,2083
"117","Little Saltee",6,22,1560
"118","Little Saltee",7,32,2241
"119","Little Saltee",8,32,2418
"120","Little Saltee",9,32,2339
"121","Skjalfandi",1,54,10591
"122","Skjalfandi",10,54,10576
"123","Skjalfandi",11,54,10275
"124","Skjalfandi",12,54,10608
"125","Skjalfandi",2,54,9583
"126","Skjalfandi",3,53,10478
"127","Skjalfandi",4,53,10143
"128","Skjalfandi",5,53,9509
"129","Skjalfandi",6,38,7167
"130","Skjalfandi",7,47,8416
"131","Skjalfandi",8,52,10104
"132","Skjalfandi",9,53,10271
