"","colony","tracking_year","ty_number_birds_tracked","ty_number_of_total_tracks"
"1","Alkefjellet",2015,4,2437
"2","Alkefjellet",2016,13,7707
"3","Alkefjellet",2017,11,6258
"4","Alkefjellet",2018,9,6162
"5","Alkefjellet",2019,7,4722
"6","Alkefjellet",2020,5,2763
"7","Bjørnøya",2014,23,13367
"8","Bjørnøya",2015,22,14564
"9","Bjørnøya",2016,19,11923
"10","Bjørnøya",2017,17,9899
"11","Bjørnøya",2018,10,5676
"12","Eynhallow",2006,3,1959
"13","Eynhallow",2007,10,6652
"14","Eynhallow",2008,27,12628
"15","Eynhallow",2009,23,14930
"16","Eynhallow",2010,48,31130
"17","Eynhallow",2011,26,16904
"18","Eynhallow",2012,6,3080
"19","Eynhallow",2013,4,211
"20","Eynhallow",2014,34,21040
"21","Eynhallow",2015,44,21621
"22","Eynhallow",2016,43,24387
"23","Eynhallow",2017,50,31286
"24","Eynhallow",2018,36,23703
"25","Eynhallow",2019,29,19351
"26","Eynhallow",2020,23,12891
"27","Faroe Islands",2015,7,4275
"28","Faroe Islands",2016,11,7436
"29","Faroe Islands",2017,9,5988
"30","Faroe Islands",2018,1,730
"31","Faroe Islands",2019,1,434
"32","Faroe Islands",2020,2,1250
"33","Inishkea",2018,4,237
"34","Inishkea",2019,4,2928
"35","Inishkea",2020,4,2625
"36","Isle of Canna",2014,8,4995
"37","Isle of Canna",2015,2,1274
"38","Jan Mayen",2014,19,11190
"39","Jan Mayen",2015,20,13650
"40","Jan Mayen",2016,29,18843
"41","Jan Mayen",2017,34,21100
"42","Jan Mayen",2018,27,16065
"43","Jan Mayen",2019,8,5654
"44","Jan Mayen",2020,7,4340
"45","Jarsteinen",2010,2,73
"46","Jarsteinen",2011,5,3588
"47","Jarsteinen",2012,5,3350
"48","Jarsteinen",2015,4,1493
"49","Jarsteinen",2016,7,2924
"50","Jarsteinen",2017,6,4261
"51","Jarsteinen",2018,7,4124
"52","Jarsteinen",2019,2,1363
"53","Jarsteinen",2020,1,640
"54","Langanes",2014,1,637
"55","Langanes",2015,1,732
"56","Langanes",2016,3,1988
"57","Langanes",2017,2,1335
"58","Langanes",2018,1,613
"59","Little Saltee",2009,17,1020
"60","Little Saltee",2010,19,12560
"61","Little Saltee",2011,3,1996
"62","Little Saltee",2018,5,180
"63","Little Saltee",2019,5,3539
"64","Little Saltee",2020,12,7898
"65","Skjalfandi",2013,2,107
"66","Skjalfandi",2014,20,12446
"67","Skjalfandi",2015,26,18774
"68","Skjalfandi",2016,36,23060
"69","Skjalfandi",2017,35,23259
"70","Skjalfandi",2018,30,19651
"71","Skjalfandi",2019,21,14168
"72","Skjalfandi",2020,10,6256
